date,buy_hold,v1_bullish,v1_positive,v2_bullish,v2_positive
2025-04-25,1.575894,0.992925,1.132443,0.954342,1.020325
2025-04-26,1.575716,0.992813,1.132316,0.953280,1.020210
2025-04-27,1.561084,0.983594,1.121801,0.944428,1.010736
2025-04-28,1.582097,0.996833,1.136901,0.957140,1.024341
2025-04-29,1.569536,0.988918,1.127874,0.949540,1.016208
2025-04-30,1.568123,0.988029,1.126859,0.948686,1.015294
2025-05-01,1.606720,1.012347,1.154595,0.972036,1.040284
2025-05-02,1.613335,1.016515,1.159348,0.976038,1.044566
2025-05-03,1.596172,1.015499,1.147015,0.975062,1.033454
2025-05-04,1.569882,0.997757,1.128123,0.958027,1.016432
2025-05-05,1.577476,1.002584,1.133580,0.962662,1.021349
2025-05-06,1.612450,1.024812,1.158713,0.984005,1.043994
2025-05-07,1.615722,1.026892,1.161064,0.986001,1.046112
2025-05-08,1.719480,1.025865,1.235625,1.049320,1.113291
2025-05-09,1.714658,1.025865,1.232159,1.048271,1.110169
2025-05-10,1.745256,1.025865,1.230927,1.048271,1.129980
2025-05-11,1.733741,1.025865,1.230927,1.048271,1.122524
2025-05-12,1.711649,1.025865,1.214012,1.048271,1.108221
2025-05-13,1.733503,1.025865,1.229512,1.048271,1.122370
2025-05-14,1.723580,1.025865,1.222474,1.048271,1.115946
2025-05-15,1.727841,1.025865,1.225496,1.048271,1.118705
2025-05-16,1.722849,1.025865,1.221955,1.048271,1.115472
2025-05-17,1.717233,1.025865,1.217972,1.048271,1.111836
2025-05-18,1.772644,1.025865,1.216754,1.048271,1.110724
2025-05-19,1.757981,1.025865,1.205473,1.048271,1.100426
2025-05-20,1.779233,1.037240,1.220046,1.048271,1.113729
2025-05-21,1.825758,1.036203,1.251949,1.048271,1.142852
2025-05-22,1.859931,1.054561,1.275382,1.066843,1.164243
2025-05-23,1.787031,1.053507,1.225393,1.065777,1.118611
2025-05-24,1.794418,1.056808,1.230458,1.069116,1.123234
2025-05-25,1.815104,1.068991,1.244643,1.081441,1.136183
2025-05-26,1.822274,1.067922,1.243399,1.080360,1.135047
2025-05-27,1.814005,1.067922,1.243399,1.080360,1.135047
2025-05-28,1.794749,1.067922,1.243399,1.080360,1.135047
2025-05-29,1.758248,1.067922,1.216867,1.080360,1.110828
2025-05-30,1.731534,1.067922,1.198379,1.080360,1.093950
2025-05-31,1.741632,1.067922,1.205367,1.080360,1.100330
2025-06-01,1.759133,1.077586,1.217480,1.080360,1.111387
2025-06-02,1.762715,1.076508,1.219959,1.080360,1.113650
2025-06-03,1.754703,1.076508,1.214414,1.080360,1.108588
2025-06-04,1.743380,1.076508,1.206577,1.080360,1.101434
2025-06-05,1.690291,1.076508,1.169835,1.080360,1.100333
2025-06-06,1.736579,1.104911,1.201870,1.080360,1.129364
2025-06-07,1.757622,1.118300,1.216434,1.080360,1.143050
2025-06-08,1.760650,1.120227,1.218530,1.080360,1.145019
2025-06-09,1.836066,1.119106,1.270724,1.080360,1.143874
2025-06-10,1.836255,1.119106,1.270855,1.080360,1.143874
2025-06-11,1.809125,1.101453,1.252079,1.080360,1.125830
2025-06-12,1.759613,1.071308,1.217812,1.080360,1.095018
2025-06-13,1.766188,1.075312,1.222363,1.080360,1.099110
2025-06-14,1.755332,1.068702,1.214849,1.072639,1.092354
2025-06-15,1.758319,1.067633,1.216916,1.071566,1.091261
2025-06-16,1.778310,1.067633,1.230752,1.071566,1.091261
2025-06-17,1.740954,1.067633,1.204898,1.071566,1.067247
2025-06-18,1.746542,1.067633,1.208766,1.071566,1.066180
2025-06-19,1.742743,1.064243,1.206136,1.071566,1.062794
2025-06-20,1.720086,1.063179,1.190456,1.071566,1.048977
2025-06-21,1.700471,1.063179,1.189266,1.071566,1.047928
2025-06-22,1.681219,1.063179,1.189266,1.071566,1.047928
2025-06-23,1.753988,1.063179,1.239552,1.071566,1.092238
2025-06-24,1.766461,1.069676,1.248367,1.071566,1.100005
2025-06-25,1.787402,1.068606,1.263166,1.071566,1.113046
2025-06-26,1.780849,1.068606,1.258535,1.071566,1.108965
2025-06-27,1.782523,1.068542,1.259718,1.071566,1.110008
2025-06-28,1.786673,1.071030,1.262650,1.072989,1.112592
2025-06-29,1.804326,1.081612,1.275126,1.083591,1.123584
2025-06-30,1.784170,1.080531,1.273851,1.082507,1.122461
2025-07-01,1.759770,1.080531,1.273851,1.082507,1.122461
2025-07-02,1.812530,1.080531,1.273851,1.082507,1.122461
2025-07-03,1.824772,1.080531,1.273851,1.082507,1.122461
2025-07-04,1.798120,1.080531,1.273851,1.082507,1.122461
2025-07-05,1.801682,1.080531,1.273851,1.082507,1.122461
2025-07-06,1.818429,1.080531,1.273851,1.082507,1.122461
2025-07-07,1.802761,1.080531,1.273851,1.082507,1.122461
2025-07-08,1.813752,1.080531,1.273851,1.082507,1.122461
2025-07-09,1.852234,1.102376,1.299604,1.104392,1.145154
2025-07-10,1.931763,1.149708,1.355405,1.103288,1.194323
2025-07-11,1.957034,1.148558,1.373136,1.103288,1.193128
2025-07-12,1.955242,1.148558,1.371878,1.103288,1.193128
2025-07-13,1.982994,1.148558,1.370507,1.103288,1.193128
2025-07-14,1.995558,1.148558,1.370507,1.103288,1.199495
2025-07-15,1.960871,1.148558,1.345314,1.103288,1.178645
2025-07-16,1.975397,1.148558,1.355280,1.103288,1.187376
2025-07-17,1.984508,1.148558,1.361530,1.103288,1.192853
2025-07-18,1.963648,1.148558,1.347219,1.103288,1.180314
2025-07-19,1.962235,1.148558,1.346250,1.103288,1.179465
2025-07-20,1.952663,1.148558,1.339682,1.103288,1.173711
2025-07-21,1.954582,1.148558,1.340998,1.103288,1.174864
2025-07-22,1.997444,1.148558,1.339657,1.103288,1.173690
2025-07-23,1.977488,1.135935,1.324934,1.091162,1.160790
2025-07-24,1.970578,1.131965,1.320304,1.087349,1.156733
2025-07-25,1.958477,1.125014,1.312196,1.080672,1.149630
2025-07-26,1.963567,1.127938,1.315607,1.079591,1.152618
2025-07-27,1.988471,1.126810,1.314291,1.079591,1.151466
2025-07-28,1.965937,1.126810,1.298083,1.079591,1.151466
2025-07-29,1.964080,1.126810,1.296856,1.079591,1.149226
2025-07-30,1.962240,1.126810,1.295642,1.079591,1.148150
2025-07-31,1.927668,1.126810,1.272814,1.079591,1.127921
2025-08-01,1.886602,1.126810,1.245699,1.079591,1.103892
2025-08-02,1.874087,1.118208,1.237436,1.079591,1.096570
2025-08-03,1.901770,1.134726,1.255714,1.094458,1.112767
2025-08-04,1.915861,1.143133,1.265018,1.093364,1.121012
2025-08-05,1.900453,1.141990,1.254845,1.093364,1.111997
2025-08-06,1.914816,1.141990,1.264328,1.093364,1.120401
2025-08-07,1.956108,1.141990,1.291593,1.093364,1.119280
2025-08-08,1.942832,1.141990,1.282827,1.093364,1.119280
2025-08-09,1.939293,1.141990,1.280490,1.093364,1.119280
2025-08-10,1.986447,1.141990,1.311625,1.093364,1.119280
2025-08-11,1.976323,1.141990,1.304940,1.093364,1.119280
2025-08-12,2.000436,1.154782,1.320862,1.093364,1.131817
2025-08-13,2.053261,1.185276,1.355741,1.093364,1.161705
2025-08-14,1.969813,1.184090,1.300642,1.093364,1.114492
2025-08-15,1.953944,1.173367,1.290164,1.083462,1.105513
2025-08-16,1.954587,1.173753,1.290588,1.083818,1.105877
2025-08-17,1.954992,1.173996,1.290856,1.084043,1.106106
2025-08-18,1.935377,1.172822,1.277904,1.082959,1.095008
2025-08-19,1.879525,1.172822,1.241026,1.082959,1.063408
2025-08-20,1.902809,1.172822,1.239785,1.082959,1.062345
2025-08-21,1.873315,1.172822,1.239785,1.082959,1.062345
2025-08-22,1.947182,1.172822,1.239785,1.082959,1.062345
2025-08-23,1.922239,1.156626,1.222664,1.082959,1.047674
2025-08-24,1.889860,1.155469,1.221441,1.082959,1.046626
2025-08-25,1.833551,1.155469,1.221441,1.082959,1.046626
2025-08-26,1.861047,1.155469,1.221441,1.082959,1.046626
2025-08-27,1.852701,1.155469,1.221441,1.082959,1.046626
2025-08-28,1.874429,1.155469,1.221441,1.082959,1.046626
2025-08-29,1.804667,1.155469,1.221441,1.082959,1.046626
2025-08-30,1.811976,1.155469,1.221441,1.082959,1.046626
2025-08-31,1.802485,1.155469,1.221441,1.082959,1.046626
2025-09-01,1.818988,1.155469,1.221441,1.082959,1.046626
2025-09-02,1.852334,1.155469,1.221441,1.082959,1.046626
2025-09-03,1.860089,1.155469,1.221441,1.082959,1.046626
2025-09-04,1.843856,1.155469,1.221441,1.082959,1.046626
2025-09-05,1.842676,1.155469,1.221441,1.082959,1.046626
2025-09-06,1.834816,1.155469,1.221441,1.082959,1.046626
2025-09-07,1.850625,1.155469,1.221441,1.082959,1.046626
2025-09-08,1.866076,1.155469,1.221441,1.082959,1.046626
2025-09-09,1.857436,1.155469,1.221441,1.082959,1.040734
2025-09-10,1.897627,1.155469,1.221441,1.082959,1.039693
2025-09-11,1.922982,1.155469,1.221441,1.082959,1.039693
2025-09-12,1.932086,1.155469,1.221441,1.082959,1.039693
2025-09-13,1.930236,1.155469,1.221441,1.082959,1.039693
2025-09-14,1.919407,1.155469,1.213368,1.082959,1.032821
2025-09-15,1.920768,1.155469,1.212154,1.082959,1.033553
2025-09-16,1.944734,1.155469,1.226067,1.082959,1.046449
2025-09-17,1.939049,1.155469,1.224841,1.082959,1.043390
2025-09-18,1.949472,1.155469,1.230200,1.082959,1.048999
2025-09-19,1.925475,1.155469,1.228969,1.082959,1.036086
2025-09-20,1.926361,1.155469,1.228306,1.082959,1.036563
2025-09-21,1.918813,1.155469,1.223493,1.082959,1.032501
2025-09-22,1.875830,1.155469,1.196086,1.082959,1.009372
2025-09-23,1.864969,1.155469,1.194890,1.082959,1.008363
2025-09-24,1.886753,1.155469,1.194890,1.082959,1.008363
2025-09-25,1.814943,1.155469,1.194890,1.082959,1.008363
2025-09-26,1.825749,1.155469,1.194890,1.082959,1.008363
2025-09-27,1.825622,1.155469,1.194890,1.082959,1.008363
2025-09-28,1.867720,1.180958,1.221248,1.082959,1.030606
2025-09-29,1.903488,1.179777,1.244635,1.082959,1.050343
2025-09-30,1.899108,1.175882,1.241772,1.082959,1.047926
2025-10-01,1.974807,1.222754,1.291269,1.082959,1.089697
2025-10-02,2.007018,1.242698,1.312331,1.099540,1.107471
2025-10-03,2.035370,1.241455,1.330869,1.098440,1.123115
2025-10-04,2.038017,1.241455,1.332601,1.098440,1.124576
2025-10-05,2.056189,1.251283,1.344483,1.107136,1.134604
2025-10-06,2.075776,1.250032,1.357290,1.106029,1.145411
2025-10-07,2.020399,1.250032,1.321080,1.106029,1.114855
2025-10-08,2.053253,1.250032,1.342563,1.106029,1.132984
2025-10-09,2.025885,1.232119,1.324668,1.090180,1.117882
2025-10-10,1.877886,1.230887,1.227896,1.089090,1.036216
2025-10-11,1.842416,1.230887,1.226668,1.089090,1.035180
2025-10-12,1.914258,1.230887,1.273273,1.089090,1.074510
2025-10-13,1.917709,1.231875,1.275568,1.089964,1.076447
2025-10-14,1.882110,1.209007,1.251889,1.069731,1.056464
2025-10-15,1.844396,1.207798,1.226804,1.068661,1.055408
2025-10-16,1.801618,1.207798,1.198350,1.068661,1.029874
2025-10-17,1.772268,1.207798,1.178827,1.068661,1.013096
2025-10-18,1.784812,1.215139,1.187171,1.068661,1.020267
2025-10-19,1.809086,1.231666,1.203317,1.068661,1.034143
2025-10-20,1.840546,1.230434,1.224243,1.068661,1.052127
2025-10-21,1.803339,1.230434,1.199495,1.068661,1.030858
2025-10-22,1.791180,1.230434,1.191407,1.068661,1.023907
2025-10-23,1.832988,1.230434,1.219216,1.068661,1.047806
2025-10-24,1.848419,1.230434,1.217996,1.068661,1.046758
2025-10-25,1.859099,1.230434,1.217996,1.068661,1.046758
2025-10-26,1.907608,1.230434,1.217996,1.068661,1.046758
2025-10-27,1.900085,1.230434,1.211975,1.068661,1.046758
2025-10-28,1.879950,1.230434,1.210763,1.068661,1.046758
2025-10-29,1.832041,1.230434,1.210763,1.068661,1.046758
2025-10-30,1.803759,1.230434,1.210763,1.068661,1.046758
2025-10-31,1.825159,1.230434,1.210763,1.068661,1.046758
2025-11-01,1.833320,1.230434,1.210763,1.068661,1.046758
2025-11-02,1.840689,1.230434,1.210763,1.068661,1.046758
2025-11-03,1.774788,1.230434,1.210763,1.068661,1.046758
2025-11-04,1.690100,1.230434,1.210763,1.068661,1.046758
2025-11-05,1.729864,1.230434,1.210763,1.068661,1.046758
2025-11-06,1.687583,1.230434,1.210763,1.068661,1.046758
2025-11-07,1.720770,1.230434,1.210763,1.068661,1.046758
2025-11-08,1.703684,1.230434,1.210763,1.068661,1.046758
2025-11-09,1.743814,1.230434,1.210763,1.068661,1.046758
2025-11-10,1.765265,1.230434,1.210763,1.068661,1.046758
2025-11-11,1.716107,1.230434,1.210763,1.068661,1.046758
2025-11-12,1.692717,1.230434,1.210763,1.068661,1.046758
2025-11-13,1.660041,1.230434,1.210763,1.068661,1.046758
2025-11-14,1.575150,1.230434,1.210763,1.068661,1.046758
2025-11-15,1.591839,1.230434,1.222381,1.068661,1.046758
2025-11-16,1.569612,1.230434,1.221159,1.068661,1.046758
2025-11-17,1.535538,1.230434,1.221159,1.068661,1.046758
2025-11-18,1.547955,1.230434,1.221159,1.068661,1.046758
2025-11-19,1.524545,1.230434,1.221159,1.068661,1.046758
2025-11-20,1.442656,1.230434,1.221159,1.068661,1.046758
2025-11-21,1.417549,1.230434,1.198685,1.068661,1.027494
